Ngo Thanh Phong 1,ngo.thanh.phong.1@student.sims.edu.vn,Test@123,student,BC0000,2004-12-05,0987186433,Other,Ho Chi Minh City
Nguyen Van An 2,nguyen.van.an.2@student.sims.edu.vn,Test@123,student,BC0001,2001-08-25,0973226871,Female,Can Tho
Bui Quoc Bao 3,bui.quoc.bao.3@student.sims.edu.vn,Test@123,student,BC0002,2007-11-12,0901766366,Male,Ho Chi Minh City
Le Hoang Minh 4,le.hoang.minh.4@student.sims.edu.vn,Test@123,student,BC0003,2001-05-26,0979816876,Male,Hai Phong
Pham Thu Trang 5,pham.thu.trang.5@student.sims.edu.vn,Test@123,student,BC0004,2002-10-28,0964943907,Male,Quang Ninh
Tran Thi Binh 6,tran.thi.binh.6@student.sims.edu.vn,Test@123,student,BC0005,2005-02-13,0946770123,Female,Hai Phong
Le Hoang Minh 7,le.hoang.minh.7@student.sims.edu.vn,Test@123,student,BC0006,2003-04-02,0975881088,Male,Binh Duong
Ngo Thanh Phong 8,ngo.thanh.phong.8@student.sims.edu.vn,Test@123,student,BC0007,2001-03-08,0959891799,Male,Dong Nai
Nguyen Van An 9,nguyen.van.an.9@student.sims.edu.vn,Test@123,student,BC0008,2002-07-13,0943274709,Female,Ha Noi
Pham Thu Trang 10,pham.thu.trang.10@student.sims.edu.vn,Test@123,student,BC0009,2003-03-15,0956508368,Female,Dong Nai
Hoang Anh Tuan 11,hoang.anh.tuan.11@student.sims.edu.vn,Test@123,student,BC0010,2007-01-11,0989175371,Other,Ha Noi
Pham Thu Trang 12,pham.thu.trang.12@student.sims.edu.vn,Test@123,student,BC0011,2001-05-31,0955589945,Female,Quang Ninh
Bui Quoc Bao 13,bui.quoc.bao.13@student.sims.edu.vn,Test@123,student,BC0012,2004-11-13,0956134637,Male,Hai Phong
Do My Linh 14,do.my.linh.14@student.sims.edu.vn,Test@123,student,BC0013,2003-06-04,0965966037,Male,Binh Duong
Bui Quoc Bao 15,bui.quoc.bao.15@student.sims.edu.vn,Test@123,student,BC0014,2002-07-26,0979973433,Other,Ha Noi
Vo Tuan Kiet 16,vo.tuan.kiet.16@student.sims.edu.vn,Test@123,student,BC0015,2002-05-12,0975609809,Male,Can Tho
Le Hoang Minh 17,le.hoang.minh.17@student.sims.edu.vn,Test@123,student,BC0016,2002-09-29,0988052409,Other,Quang Ninh
Vo Tuan Kiet 18,vo.tuan.kiet.18@student.sims.edu.vn,Test@123,student,BC0017,2006-03-18,0963302793,Female,Can Tho
Pham Thu Trang 19,pham.thu.trang.19@student.sims.edu.vn,Test@123,student,BC0018,2002-06-07,0991494893,Female,Da Nang
Pham Thu Trang 20,pham.thu.trang.20@student.sims.edu.vn,Test@123,student,BC0019,2002-06-08,0942936399,Other,Dong Nai
Nguyen Van An 21,nguyen.van.an.21@student.sims.edu.vn,Test@123,student,BC0020,2002-02-17,0941188657,Female,Hai Phong
Vo Tuan Kiet 22,vo.tuan.kiet.22@student.sims.edu.vn,Test@123,student,BC0021,2005-12-04,0919138168,Male,Hai Phong
Nguyen Van An 23,nguyen.van.an.23@student.sims.edu.vn,Test@123,student,BC0022,2001-09-19,0933862042,Male,Ho Chi Minh City
Vo Tuan Kiet 24,vo.tuan.kiet.24@student.sims.edu.vn,Test@123,student,BC0023,2007-10-08,0977015652,Other,Quang Ninh
Bui Quoc Bao 25,bui.quoc.bao.25@student.sims.edu.vn,Test@123,student,BC0024,2001-11-18,0907134162,Other,Ha Noi
Bui Quoc Bao 26,bui.quoc.bao.26@student.sims.edu.vn,Test@123,student,BC0025,2003-12-10,0907399274,Female,Binh Duong
Vo Tuan Kiet 27,vo.tuan.kiet.27@student.sims.edu.vn,Test@123,student,BC0026,2004-12-22,0965570818,Male,Can Tho
